label,program
LsaNtStatusToWinError,advapi32.dll
ControlTraceW,advapi32.dll
ProcessTrace,advapi32.dll
EnumerateTraceGuidsEx,advapi32.dll
EnableTraceEx2,advapi32.dll
CredEnumerateW,advapi32.dll
CredFree,advapi32.dll
OpenTraceW,advapi32.dll
CloseTrace,advapi32.dll
StartTraceW,advapi32.dll
CredUnmarshalCredentialW,advapi32.dll
CredReadW,advapi32.dll
StopTraceW,advapi32.dll
CredWriteW,advapi32.dll
NotifyServiceStatusChangeA,advapi32.dll
NotifyServiceStatusChangeW,advapi32.dll
CredDeleteW,advapi32.dll
QueryAllTracesW,advapi32.dll
EventAccessControl,advapi32.dll
CredWriteA,advapi32.dll
CredDeleteA,advapi32.dll
CredReadA,advapi32.dll
EnableTraceEx2,advapi32.dll
ControlTraceW,advapi32.dll
OpenTraceW,advapi32.dll
ControlTraceA,advapi32.dll
QueryAllTracesA,advapi32.dll
StartTraceA,advapi32.dll
NotifyServiceStatusChange,advapi32.dll
CreateServiceEx,advapi32.dll
I_ScReparseServiceDatabase,advapi32.dll
QueryLocalUserServiceName,advapi32.dll
QueryUserServiceName,advapi32.dll
QueryUserServiceNameForContext,advapi32.dll
ApiSetQueryApiSetPresence,advapi32.dll
__CxxFrameHandler4,advapi32.dll
ControlServiceExA,advapi32.dll
ControlServiceExW,advapi32.dll
CredBackupCredentials,advapi32.dll
CredEncryptAndMarshalBinaryBlob,advapi32.dll
CredEnumerateA,advapi32.dll
CredFindBestCredentialA,advapi32.dll
CredFindBestCredentialW,advapi32.dll
CredGetSessionTypes,advapi32.dll
CredGetTargetInfoA,advapi32.dll
CredGetTargetInfoW,advapi32.dll
CredIsMarshaledCredentialW,advapi32.dll
CredIsProtectedA,advapi32.dll
CredIsProtectedW,advapi32.dll
CredMarshalCredentialA,advapi32.dll
CredMarshalCredentialW,advapi32.dll
CredProfileLoadedEx,advapi32.dll
CredProfileLoaded,advapi32.dll
CredProfileUnloaded,advapi32.dll
CredProtectA,advapi32.dll
CredProtectW,advapi32.dll
CredReadByTokenHandle,advapi32.dll
CredReadDomainCredentialsA,advapi32.dll
CredReadDomainCredentialsW,advapi32.dll
CredRestoreCredentials,advapi32.dll
CredUnmarshalCredentialA,advapi32.dll
CredUnprotectA,advapi32.dll
CredUnprotectW,advapi32.dll
CredWriteDomainCredentialsA,advapi32.dll
CredWriteDomainCredentialsW,advapi32.dll
CredpConvertCredential,advapi32.dll
CredpConvertOneCredentialSize,advapi32.dll
CredpConvertTargetInfo,advapi32.dll
CredpDecodeCredential,advapi32.dll
CredpEncodeCredential,advapi32.dll
CredpEncodeSecret,advapi32.dll
EnumDynamicTimeZoneInformation,advapi32.dll
EventAccessQuery,advapi32.dll
EventAccessRemove,advapi32.dll
GetDynamicTimeZoneInformationEffectiveYears,advapi32.dll
I_ScSetServiceBitsA,advapi32.dll
I_ScSetServiceBitsW,advapi32.dll
QueryServiceDynamicInformation,advapi32.dll
QueryTraceProcessingHandle,advapi32.dll
TraceSetInformation,advapi32.dll
WaitServiceState,advapi32.dll
I_ScRpcBindA,advapi32.dll
I_ScRpcBindW,advapi32.dll
